Obs_ID,Study_ID,Cohort_ID,Shared_control_ID,Year,Country,Data_source,Data_location,Bird_species,Bird_common_name,Prey_species,Prey_common_name,Response,Measure,Direction,Detail_result,Note_result,Treatment_stimulus,Shape_pattern,Control_stimulus,Note_stimulus,Number_pattern,Diameter_pattern,Log_diameter,Area_pattern,Log_area,area_pattern_T,Log_area_pattern_T,Area_background,Log_background,Type_prey,Shape_prey,Diet_bird,Bird_sex,Bird_age,Tn,Cn,T_mean,C_mean,T_sd,C_sd,T_proportion,C_proportion,Study_design,Dataset,Mean_median,T_mean_median,C_mean_median,Type_of_variance_statistic,T_se,C_se,T_variance_q1,T_variance_q3,C_variance_q1,C_variance_q3,lnRR,lnRR_var,Note
11,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,latency,Increase,time of eye closure ,,eyespot,eyespot,no pattern,,2,25,3.218875825,490.8738521,6.196187174,981.7477042,6.889334355,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,46.5,0.8,51.12338017,0.774596669,NA,NA,independent,predator,mean,46.5,0.8,SEM,13.2,0.2,NA,NA,NA,NA,4.062595864,0.143082726,Mann-Whitney U test; p < 0.002
12,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,number,Neutral,number of peeps ,,eyespot,eyespot,no pattern,,1,25,3.218875825,490.8738521,6.196187174,490.8738521,6.196187174,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,556.1,703.1,210.3029957,144.8495771,NA,NA,independent,predator,mean,556.1,703.1,SEM,54.3,37.4,NA,NA,NA,NA,-0.234550995,0.012363907,Mann-Whitney U test; n.s.
13,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,number,Neutral,number of peeps ,,eyespot,eyespot,no pattern,,2,25,3.218875825,490.8738521,6.196187174,981.7477042,6.889334355,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,378.9,703.1,130.9068371,144.8495771,NA,NA,independent,predator,mean,378.9,703.1,SEM,33.8,37.4,NA,NA,NA,NA,-0.618226811,0.010787134,Mann-Whitney U test; p < 0.002
14,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,number,Neutral,number of steps ,,eyespot,eyespot,no pattern,,1,25,3.218875825,490.8738521,6.196187174,490.8738521,6.196187174,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,149.3,213.8,60.03124187,53.05987184,NA,NA,independent,predator,mean,149.3,213.8,SEM,15.5,13.7,NA,NA,NA,NA,-0.359083294,0.014884203,Mann-Whitney U test; p < 0.02
15,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,number,Neutral,number of steps ,,eyespot,eyespot,no pattern,,2,25,3.218875825,490.8738521,6.196187174,981.7477042,6.889334355,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,89.5,213.8,37.95523679,53.05987184,NA,NA,independent,predator,mean,89.5,213.8,SEM,9.8,13.7,NA,NA,NA,NA,-0.870802373,0.016095702,Mann-Whitney U test; p < 0.002
16,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,number,Neutral,number of jumps ,,eyespot,eyespot,no pattern,,1,25,3.218875825,490.8738521,6.196187174,490.8738521,6.196187174,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,9.3,13.6,13.16814338,17.81572339,NA,NA,independent,predator,mean,9.3,13.6,SEM,3.4,4.6,NA,NA,NA,NA,-0.380055393,0.248060184,Mann-Whitney U test; p < 0.02
17,Jones_1980,Jones_1980_1,Jones_1980_a,1980,UK,table. 1,p.214,Gallus_gallus,domestic fowl,none,none,continuous,number,Neutral,number of jumps ,,eyespot,eyespot,no pattern,,2,25,3.218875825,490.8738521,6.196187174,981.7477042,6.889334355,3200,8.070906089,artificial,abstract_prey,omnivore,male,chick,15,15,2.7,13.6,6.584071689,17.81572339,NA,NA,independent,predator,mean,2.7,13.6,SEM,1.7,4.6,NA,NA,NA,NA,-1.61681802,0.510836585,Mann-Whitney U test; p < 0.02
18,Inglis_1983,Inglis_1983_1,Inglis_1983_a,1983,UK,text,p.189,Sturnus_vulgaris,common starling,none,none,continuous,time,Neutral,duration of staying in the presence of stimulus ,,eyespot,eyespot,no pattern,,2,20,2.995732274,314.1592654,5.749900072,628.3185308,6.443047253,26400,10.18111929,artificial,abstract_prey,omnivore,NA,adult,8,8,249,2115,373.3523805,1052.17489,NA,NA,dependent,predator,mean,249,2115,SE,132,372,NA,NA,NA,NA,-2.139357195,0.218722746,t7 = 5.9; p < 0.001
19,Inglis_1983,Inglis_1983_1,Inglis_1983_a,1983,UK,text,p.189,Sturnus_vulgaris,common starling,none,none,continuous,time,Neutral,duration of feeding in the presence of stimulus ,,eyespot,eyespot,no pattern,,2,20,2.995732274,314.1592654,5.749900072,628.3185308,6.443047253,26400,10.18111929,artificial,abstract_prey,omnivore,NA,adult,8,8,134,385,189.5046174,175.3624817,NA,NA,dependent,predator,mean,134,385,SE,67,62,NA,NA,NA,NA,-1.055403534,0.195414067,t7 = 2.6; p < 0.05
20,Wourms_1985,Wourms_1985_1,Wourms_1985_a,1985,US,table. 1,p.848,Cyanocitta_cristata,blue jay,Pieris_rapae,European cabbage butterfly,continuous,number,Neutral,number of attacks ,,conspicuous,stripe,no pattern,butterfly painted on stripes (this batturfly species do not have eyespots),4,31.28,3.442978916,75.8332,4.328536191,303.3328,5.714830553,917.218,6.821345176,real,butterfly,omnivore,NA,NA,5,5,8.8,15,8.8,2.91548,NA,NA,dependent,predator,mean,8.8,15,SD,NA,NA,NA,NA,NA,NA,-0.53329848,0.16868251,Calculated by AM
21,Wourms_1985,Wourms_1985_1,Wourms_1985_a,1985,US,table. 1,p.848,Cyanocitta_cristata,blue jay,Pieris_rapae,European cabbage butterfly,continuous,number,Neutral,number of attacks ,,conspicuous,circle,no pattern,butterfly painted on stripes (this batturfly species do not have eyespots),1,5,1.609437912,19.63495408,2.977311349,19.63495408,2.977311349,917.218,6.821345176,real,butterfly,omnivore,NA,NA,5,5,5.4,15,5.4,2.91548,NA,NA,dependent,predator,mean,5.4,15,SD,NA,NA,NA,NA,NA,NA,-1.021651248,0.16868251,Calculated by AM
22,Kodandaramaiah_2009,Kodandaramaiah_2009_1,Kodandaramaiah_2009_a,2009,Sweden,text,p.1417,Parus_major,great tit,Junonia_almana,peacock pansy butterfly,proportion1,number,Decrease,frequency of the subject first attacked the prey ,,eyespot,eyespot,no pattern,diameter was calculated by AM,4,6.28,1.83736998,30.97484693,3.433175486,123.8993877,4.819469847,1247.782,7.129122854,real,butterfly,omnivore,NA,NA,35,35,NA,NA,NA,NA,0.428571429,0.714285714,dependent,predator,NA,15,25,NA,NA,NA,NA,NA,NA,NA,0.418569321,0.008702648,"binomial test, p = 0.017"
23,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to first movement ,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,59.98316,44.20034,66.96086257,56.21405572,NA,NA,dependent,predator,mean,59.98316,44.20034,SEM,23.67424,19.87467,NA,NA,NA,NA,0.305331375,0.180489905,
24,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to first movement ,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,23.15657,24.91021,29.76039908,27.28034932,NA,NA,dependent,predator,mean,23.15657,24.91021,SEM,10.52189,9.64506,NA,NA,NA,NA,-0.072999218,0.180447036,
25,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to first movement ,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,20.81837,54.13767,24.80032785,42.16053472,NA,NA,dependent,predator,mean,20.81837,54.13767,SEM,8.76824,14.906,NA,NA,NA,NA,-0.955694477,0.137235252,
26,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to first movement ,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,281.52731,372.13244,384.4049969,418.2987745,NA,NA,dependent,predator,mean,281.52731,372.13244,SEM,135.90769,147.89095,NA,NA,NA,NA,-0.279020354,0.199134869,
27,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to first movement ,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,41.86214,44.20034,58.69410548,56.21405572,NA,NA,dependent,predator,mean,41.86214,44.20034,SEM,20.7515,19.87467,NA,NA,NA,NA,-0.054350643,0.225017648,
28,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to first movement ,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,51.79948,24.91021,69.44091233,27.28034932,NA,NA,dependent,predator,mean,51.79948,24.91021,SEM,24.55107,9.64506,NA,NA,NA,NA,0.732102351,0.191044559,
29,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to first movement ,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,59.39862,54.13767,45.46724887,42.16053472,NA,NA,dependent,predator,mean,59.39862,54.13767,SEM,16.0751,14.906,NA,NA,NA,NA,0.092740747,0.074536302,
30,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 4a,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to first movement ,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,387.33071,372.13244,433.1789599,418.2987745,NA,NA,dependent,predator,mean,387.33071,372.13244,SEM,153.15189,147.89095,NA,NA,NA,NA,0.040029063,0.157143231,
31,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to approach the food bowl ,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,814.63415,178.04878,517.3952078,348.3794337,NA,NA,dependent,predator,mean,814.63415,178.04878,SEM,182.92683,123.17073,NA,NA,NA,NA,1.520681559,0.373643798,
32,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to approach the food bowl ,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,704.87805,46.34146,431.162659,58.63813091,NA,NA,dependent,predator,mean,704.87805,46.34146,SEM,152.43902,20.73171,NA,NA,NA,NA,2.721987784,0.150159015,
33,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to approach the food bowl ,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,1180.4878,336.58537,27.59441787,486.3514948,NA,NA,dependent,predator,mean,1180.4878,336.58537,SEM,9.7561,171.95122,NA,NA,NA,NA,1.254831205,0.256833946,
34,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to approach the food bowl ,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,836.58537,168.29268,403.5682695,303.5385117,NA,NA,dependent,predator,mean,836.58537,168.29268,SEM,142.68293,107.31707,NA,NA,NA,NA,1.603623965,0.326966865,
35,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to approach the food bowl ,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,200,178.04878,341.4808434,348.3794337,NA,NA,dependent,predator,mean,200,178.04878,SEM,120.73171,123.17073,NA,NA,NA,NA,0.116259809,0.425364937,
36,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to approach the food bowl ,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,34.14634,46.34146,31.04371303,58.63813091,NA,NA,dependent,predator,mean,34.14634,46.34146,SEM,10.97561,20.73171,NA,NA,NA,NA,-0.305381619,0.159657894,
37,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to approach the food bowl ,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,365.85366,336.58537,393.2203557,486.3514948,NA,NA,dependent,predator,mean,365.85366,336.58537,SEM,139.02439,171.95122,NA,NA,NA,NA,0.083381601,0.211257274,
38,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 4b,p.186,Sturnus_vulgaris,common starling,none,none,continuous,latency,Increase,latency to approach the food bowl ,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,226.82927,168.29268,365.6259378,303.5385117,NA,NA,dependent,predator,mean,226.82927,168.29268,SEM,129.26829,107.31707,NA,NA,NA,NA,0.298493013,0.368004985,
39,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 5a,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Increase,propotion of time spent furthest from eyespot,,eyespot,eyespot,no pattern,full eyespot; based on a photograph of owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.513978495,0.309677419,0.200727086,0.127735419,0.513978495,0.309677419,dependent,predator,mean,0.513978495,0.309677419,SEM,0.070967742,0.04516129,NA,NA,NA,NA,0.30345571,0.007386424,
40,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 5a,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Increase,propotion of time spent furthest from eyespot,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.389247312,0.333333333,0.279801393,0.255470837,0.389247312,0.333333333,dependent,predator,mean,0.389247312,0.333333333,SEM,0.098924731,0.090322581,NA,NA,NA,NA,0.090411432,0.023463193,
41,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 5a,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Increase,propotion of time spent furthest from eyespot,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.688172043,0.402150538,0.200727086,0.091239585,0.688172043,0.402150538,dependent,predator,mean,0.688172043,0.402150538,SEM,0.070967742,0.032258065,NA,NA,NA,NA,0.353630754,0.004674137,
42,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 5a,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Increase,propotion of time spent furthest from eyespot,,eyespot,eyespot,no pattern,full eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.765591398,0.655913978,0.267636115,0.285884032,0.765591398,0.655913978,dependent,predator,mean,0.765591398,0.655913978,SEM,0.094623656,0.101075269,NA,NA,NA,NA,0.121022094,0.011875432,
43,Brilot_2009,Brilot_2009_1,Brilot_2009_a,2009,UK,fig. 5a,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Increase,propotion of time spent furthest from eyespot,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with threat call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.389247312,0.309677419,0.188561808,0.127735419,0.389247312,0.309677419,dependent,predator,mean,0.389247312,0.309677419,SEM,0.066666667,0.04516129,NA,NA,NA,NA,0.132434593,0.008747844,
44,Brilot_2009,Brilot_2009_2,Brilot_2009_b,2009,UK,fig. 5a,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Increase,propotion of time spent furthest from eyespot,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with sparrowhawk call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.455913978,0.333333333,0.255470837,0.255470837,0.455913978,0.333333333,dependent,predator,mean,0.455913978,0.333333333,SEM,0.090322581,0.090322581,NA,NA,NA,NA,0.185942472,0.020151311,
45,Brilot_2009,Brilot_2009_3,Brilot_2009_c,2009,UK,fig. 5a,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Increase,propotion of time spent furthest from eyespot,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with white noise,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.43655914,0.402150538,0.194644447,0.091239585,0.43655914,0.402150538,dependent,predator,mean,0.43655914,0.402150538,SEM,0.068817204,0.032258065,NA,NA,NA,NA,0.049520661,0.006929295,
46,Brilot_2009,Brilot_2009_4,Brilot_2009_d,2009,UK,fig. 5a,p.187,Sturnus_vulgaris,common starling,none,none,proportion2,proportion,Increase,propotion of time spent furthest from eyespot,,eyespot,eyespot,no pattern,ambiguous eyespot; based on a photographof owl eyes with a contrasting light iris and dark pupil; with alarm call,2,25,3.218875825,489.6964617,6.193785733,979.3929234,6.886932914,13175,9.486076373,artificial,abstract_prey,omnivore,both,adult,8,8,0.589247312,0.655913978,0.310214588,0.285884032,0.589247312,0.655913978,dependent,predator,mean,0.589247312,0.655913978,SEM,0.109677419,0.101075269,NA,NA,NA,NA,-0.075711662,0.014569784,
